skew	whisker_min	box_min	median	box_high	whisker_high
0.5	4290.0	4290.0	4290.0	4290.0	4290.0
0.6	4455.5	4455.5	4455.5	4455.5	4455.5
0.7	4285.7	4285.7	4285.7	4285.7	4285.7
0.8	5446.1	5446.1	5446.1	5446.1	5446.1
0.9	4577.4	4577.4	4577.4	4577.4	4577.4
0.99	4922.5	4922.5	4922.5	4922.5	4922.5
1.1	5957.0	5957.0	5957.0	5957.0	5957.0
